High Ground  10E-20  ONE MOM LTR CMM WOE
Darksteel Garrison  FUT-167  OLDFRAME
Tolaria West  FUT-173  MBTWBLUE
Dryad Arbor  FUT-174  ZNR KHM STX MHTWO AFR MID
Call of the Nightwing  GK1-8  MULTICOLOR
Consuming Aberration  GK1-10  MBTWRM
Electrickery  GK1-29  MBTWRED
Shattering Spree  GK1-34  REDA
Gelectrode  GK1-38  MULTICOLOR
Izzet Boilerworks  GK1-47  MBTWLMC
Darkblast  GK1-51  BLACKA
Stinkweed Imp  GK1-53  BLACKA
Elves of Deep Shadow  GK1-56  GREENB
Abrupt Decay  GK1-57  MID VOW NEO SNC
Golgari Charm  GK1-62  MBTWLMC
Grisly Salvage  GK1-64  MBTWLMC
Putrefy  GK1-68  MULTICOLOR
Boros Elite  GK1-78  MBTWWHITE
Daring Skyjek  GK1-79  WHITEA
Bomber Corps  GK1-80  REDA
Boros Reckoner  GK1-85  RARE
Lightning Helix  GK1-90  MULTICOLOR
Martial Glory  GK1-91  MULTICOLOR
Trostani, Selesnya's Voice  GK1-102  MBTWRM
Scatter the Seeds  GK1-106  GREENB
Pollenbright Wings  GK1-115  MULTICOLOR
Selesnya Guildmage  GK1-119  MULTICOLOR
Azorius Herald  GK2-2  MBTWWHITE
Belfry Spirit  GK2-29  ZNR KHM STX MHTWO AFR MID MBTWWHITE
Ultimate Price  GK2-36  MBTWBLACK
Debtors' Knell  GK2-39  RARE
Crypt Champion  GK2-53  MBTWBLACK
Rakdos Cackler  GK2-67  CMM WOE LCI
Wasteland Viper  GK2-85  MBTWGREEN
Burning-Tree Emissary  GK2-88  MBTWLMC
Fathom Mage  GK2-118  ZNR KHM STX MHTWO AFR
Momir Vig, Simic Visionary  GK2-119  MBTWRM
Trygon Predator  GK2-125  MBTWLMC
Earthshaker Giant  GN2-5  MBTWRM
Rise from the Tides  GN2-23  MBTWBLUE
Lathliss, Dragon Queen  GN2-41  CLB DMU BRO ONE
Bushmeat Poacher  GN3-44  MBTWBLACK
Supernatural Stamina  GN3-62  MBTWBLACK
Goblin Goliath  GNT-4  MBTWRM
Hydrolash  GNT-22  MBTWBLUE
Zulaport Cutthroat  GNT-36  MBTWBLACK
Bombard  GNT-37  REDA
Dragon Fodder  GNT-39  REDA
Filigree Familiar  GNT-52  COLORLESS
Pilgrim's Eye  GNT-55  COLORLESS
Benediction of Moons  GPT-3  VOW NEO CLB DMU
Ghostway  GPT-6  CLB DMU BRO MOM
Spelltithe Enforcer  GPT-18  FOIL
Storm Herd  GPT-19  CMM
To Arms!  GPT-20  MBTWWHITE
Gigadrowse  GPT-26  MBTWBLUE
Siege of Towers  GPT-76  MOM LTR CMM
Tin Street Hooligan  GPT-78  MBTWRED
Dune-Brood Nephilim  GPT-110  ZNR
Witch-Maw Nephilim  GPT-138  VOW NEO CLB DMU
Yore-Tiller Nephilim  GPT-140  KHM STX MHTWO AFR MID VOW FOIL
Djinn Illuminatus  GPT-142  ZNR KHM STX
Orzhova, the Church of Deals  GPT-162  MID VOW NEO CLB
Blade Instructor  GRN-1  WHITEB
Candlelight Vigil  GRN-3  WHITEB
Collar the Culprit  GRN-5  WHITEB
Healer's Hawk  GRN-14  WHITEB
Intrusive Packbeast  GRN-17  WHITEB
Capture Sphere  GRN-31  BLUEA
Chemister's Insight  GRN-32  ZNR KHM STX MHTWO AFR MBTWBLUE
Citywatch Sphinx  GRN-33  BLUEB
Dazzling Lights  GRN-34  BLUEB
Leapfrog  GRN-42  BLUEB
Maximize Altitude  GRN-43  BLUEB
Murmuring Mystic  GRN-45  MBTWBLUE
Wishcoin Crab  GRN-60  BLUEA
Bartizan Bats  GRN-62  BLACKB
Dead Weight  GRN-67  MBTWBLACK
Mephitic Vapors  GRN-76  BLACKB
Never Happened  GRN-80  BLACKA
Plaguecrafter  GRN-82  BLACKA
Severed Strands  GRN-85  MBTWBLACK
Barging Sergeant  GRN-92  REDB
Cosmotronic Wave  GRN-95  REDB
Direct Current  GRN-96  REDA
Electrostatic Field  GRN-97  MBTWRED
Goblin Cratermaker  GRN-103  MBTWRED
Goblin Locksmith  GRN-104  REDB
Gravitic Punch  GRN-105  REDA
Maximize Velocity  GRN-111  REDA
Sure Strike  GRN-118  MBTWRED
Torch Courier  GRN-119  REDA
Wojek Bodyguard  GRN-120  REDA
Affectionate Indrik  GRN-121  GREENA
Beast Whisperer  GRN-123  LCI
Crushing Canopy  GRN-126  GREENB
Kraul Foragers  GRN-135  GREENA
Kraul Harpooner  GRN-136  MBTWGREEN
Nullhide Ferox  GRN-138  MBTWRM
Pack's Favor  GRN-139  GREENA
Prey Upon  GRN-143  GREENA
Siege Wurm  GRN-144  GREENA
Boros Challenger  GRN-156  ZNR KHM STX MHTWO AFR MULTICOLOR
Hammer Dropper  GRN-176  MULTICOLOR
Hypothesizzle  GRN-178  MULTICOLOR
Join Shields  GRN-181  MULTICOLOR
Lazav, the Multifarious  GRN-184  ZNR KHM
Ochran Assassin  GRN-194  MULTICOLOR
Rosemane Centaur  GRN-197  MULTICOLOR
Thought Erasure  GRN-206  MULTICOLOR
Wee Dragonauts  GRN-214  MULTICOLOR
Expansion  GRN-224a  MBTWRM
Chromatic Lantern  GRN-233  RARE
Gateway Plaza  GRN-247  COLORLESS
Purple-Crystal Crab  GS1-3  BLUEA
Welkin Tern  GS1-5  BLUEA
Nine-Tail White Fox  GS1-8  BLUEA
Moon-Eating Dog  GS1-10  ZNR KHM
Ancestor Dragon  GS1-12  MBTWRM
Cloak of Mists  GS1-13  BLUEA
Dragon's Presence  GS1-16  WHITEA
Brilliant Plan  GS1-17  MBTWBLUE
Leopard-Spotted Jiao  GS1-23  REDA
Ferocious Zheng  GS1-28  GREENB
Aggressive Instinct  GS1-34  GREENB
Cleansing Screech  GS1-37  REDB
Syndic of Tithes  GTC-26  MBTWWHITE
Thrull Parasite  GTC-81  MBTWBLACK
Undercity Informer  GTC-82  MBTWBLACK
Five-Alarm Fire  GTC-91  MOM LTR CMM
Assemble the Legion  GTC-142  OLDFRAME
Aurelia's Fury  GTC-144  FOIL
Borborygmos Enraged  GTC-147  MOM LTR CMM
Call of the Nightwing  GTC-149  MID VOW NEO CLB
Kingpin's Pet  GTC-173  ZNR KHM STX MHTWO AFR
Unexpected Results  GTC-203  STX MHTWO AFR MID VOW
Biomass Mutation  GTC-213  STX MHTWO AFR MID VOW
Illusionist's Bracers  GTC-231  NEO CLB DMU
Thespian's Stage  GTC-248  CMM
Bad Moon  GVL-48  MBTWRM
Heartstone  H09-26  MBTWLMC
Incremental Blight  HOP-32  MBTWBLACK
Verdant Force  HOP-81  CMM
Door to Nothingness  HOP-112  ZNR KHM STX MHTWO AFR MID
Nuisance Engine  HOP-121  STX MHTWO AFR MID VOW
Suntouched Myr  HOP-128  CMM WOE LCI
Adorned Pouncer  HOU-2  RARE
Crested Sunmare  HOU-6  KHM STX MHTWO AFR MID VOW
Disposal Mummy  HOU-9  WHITEA
Djeru's Renunciation  HOU-11  WHITEB
God-Pharaoh's Faithful  HOU-14  WHITEA
Steadfast Sentinel  HOU-24  WHITEA
Strategic Planning  HOU-47  BLUEB
Striped Riverwinder  HOU-48  MBTWBLUE
Supreme Will  HOU-49  MBTWBLUE
Lethal Sting  HOU-67  BLACKB
Marauding Boneslasher  HOU-70  BLACKA
Ruin Rat  HOU-75  BLACKA
Scrounger of Souls  HOU-76  BLACKA
Torment of Hailfire  HOU-77  RARE
Torment of Venom  HOU-79  BLACKA
Abrade  HOU-83  ZNR KHM STX
Blur of Blades  HOU-84  REDB
Firebrand Archer  HOU-92  REDB
Frontline Devastator  HOU-93  REDB
Granitic Titan  HOU-95  REDA
Inferno Jet  HOU-99  REDA
Khenra Scrapper  HOU-100  REDB
Beneath the Sands  HOU-111  GREENB
Bitterbow Sharpshooters  HOU-112  GREENB
Feral Prowler  HOU-115  GREENA
Obelisk Spider  HOU-141  MULTICOLOR
River Hoopoe  HOU-143  MULTICOLOR
Consign  HOU-149a  MKM2
Claim  HOU-150a  MULTICOLOR
Grind  HOU-155a  STX MHTWO AFR MID VOW
God-Pharaoh's Gift  HOU-161  MBTWRM
Sunset Pyramid  HOU-166  COLORLESS
Hashep Oasis  HOU-177  ZNR KHM STX MHTWO AFR
Ramunap Ruins  HOU-181  MBTWRED
Survivors' Encampment  HOU-184  MBTWLMC
Zealot of the God-Pharaoh  HOU-207  REDB
Imposing Vantasaur  IKO-17  MBTWWHITE
Splendor Mare  IKO-32  MBTWWHITE
Dreamtail Heron  IKO-47  MBTWBLUE
Mystic Subdual  IKO-57  MBTWBLUE
Neutralize  IKO-59  MBTWBLUE
Ominous Seas  IKO-61  CLB DMU BRO ONE MOM
Bastion of Remembrance  IKO-73  MBTWBLACK
Blood Curdle  IKO-75  MBTWBLACK
Grimdancer  IKO-90  MBTWBLACK
Heartless Act  IKO-91  MBTWBLACK
Suffocating Fumes  IKO-100  MBTWBLACK
Unexpected Fangs  IKO-102  MBTWBLACK
Void Beckoner  IKO-104  MBTWBLACK
Footfall Crater  IKO-118  MBTWRED
Lukka, Coppercoat Outcast  IKO-125  STX
Shredded Sails  IKO-136  MBTWRED
Yidaro, Wandering Monster  IKO-141  WOE LCI
Exuberant Wolfbear  IKO-151  VOW NEO CLB DMU
Ram Through  IKO-170  MBTWGREEN
Sudden Spinnerets  IKO-171  MBTWGREEN
Titanoth Rex  IKO-174  LCI MBTWGREEN
Wilt  IKO-176  MBTWGREEN
General Kudro of Drannith  IKO-187  MID VOW NEO
Ketria Triome  IKO-250  MOM LTR CMM WOE
Pouncing Shoreshark  IKO-285  ZNR
Parcelbeast  IKO-304  KHM STX
Angel of Mercy  IMA-6  WHITEB
Benevolent Ancestor  IMA-12  WHITEB
Dragon Bell Monk  IMA-17  WHITEB
Elesh Norn, Grand Cenobite  IMA-18  RARE
Emerge Unscathed  IMA-19  WHITEB
Great Teacher's Decree  IMA-21  STX MHTWO AFR MID VOW
Guided Strike  IMA-23  WHITEB
Iona's Judgment  IMA-25  WHITEB
Pentarch Ward  IMA-27  WHITEB
Stalwart Aven  IMA-32  WHITEB
Survival Cache  IMA-34  ONE MOM LTR CMM WOE
Wing Shards  IMA-38  WHITEA
Yosei, the Morning Star  IMA-39  MBTWRM
Amass the Components  IMA-41  BLUEA
Bewilder  IMA-43  BLUEB
Condescend  IMA-46  BLUEA
Cryptic Command  IMA-48  MBTWRM
Diminish  IMA-50  BLUEB
Distortion Strike  IMA-52  BLUEB
Doorkeeper  IMA-53  BLUEB
Jace's Phantasm  IMA-60  BLUEB
Mahamoti Djinn  IMA-64  BLUEB
Mnemonic Wall  IMA-67  BLUEA
Riverwheel Aerialists  IMA-71  BLUEB
Teferi, Mage of Zhalfir  IMA-75  MBTWRM
Thought Scour  IMA-76  BLUEB
Bala Ged Scorpion  IMA-79  BLACKA
Balustrade Spy  IMA-80  BLACKB
Butcher's Glee  IMA-84  BLACKA
Child of Night  IMA-85  BLACKB
Dead Reveler  IMA-86  BLACKA
Eternal Thirst  IMA-89  BLACKB
Festering Newt  IMA-90  BLACKB
Indulgent Tormentor  IMA-94  MBTWBLACK
Ob Nixilis, the Fallen  IMA-101  SNC CLB DMU BRO
Rakdos Drake  IMA-103  BLACKB
Rune-Scarred Demon  IMA-106  RARE
Virulent Swipe  IMA-113  BLACKB
Wrench Mind  IMA-115  BLACKB
Anger of the Gods  IMA-116  RARE
Dragon Egg  IMA-124  REDB
Fireball  IMA-128  REDA
Furnace Whelp  IMA-129  REDA
Fury Charm  IMA-130  REDB
Guttersnipe  IMA-131  REDA
Hammerhand  IMA-132  REDA
Hoarding Dragon  IMA-134  LTR CMM WOE LCI MBTWRED
Keldon Halberdier  IMA-135  REDA
Kiln Fiend  IMA-137  REDA
Monastery Swiftspear  IMA-140  REDA
Staggershock  IMA-147  REDA
Urabrask the Hidden  IMA-152  SNC CLB DMU BRO
Vent Sentinel  IMA-153  REDB
Assault Formation  IMA-155  VOW NEO CLB DMU MBTWGREEN
Crowned Ceratok  IMA-158  GREENB
Durkwood Baloth  IMA-160  GREENB
Greater Basilisk  IMA-165  GREENA
Heroes' Bane  IMA-166  MBTWGREEN
Jugan, the Rising Star  IMA-172  NEO SNC CLB DMU
Lure  IMA-175  GREENA
Nature's Claim  IMA-177  GREENB
Overgrown Battlement  IMA-180  GREENB
Prey's Vengeance  IMA-182  GREENA
Search for Tomorrow  IMA-185  GREENA
Wildsize  IMA-191  GREENA
Azorius Charm  IMA-192  MULTICOLOR
Bladewing the Risen  IMA-193  CMM WOE LCI MULTICOLOR
Corpsejack Menace  IMA-197  MULTICOLOR
Rosheen Meanderer  IMA-206  MULTICOLOR
Supreme Verdict  IMA-210  RARE
Mishra's Bauble  IMA-221  COLORLESS
Moonglove Extract  IMA-222  COLORLESS
Thran Dynamo  IMA-230  COLORLESS
Trepanation Blade  IMA-231  COLORLESS
Death or Glory  INV-13  BRO MOM LTR
Pledge of Loyalty  INV-24  BRO ONE MOM LTR CMM WOE
Rout  INV-34  DMU BRO MOM LTR
Collective Restraint  INV-49  DMU BRO MOM LTR
Dream Thrush  INV-53  MBTWBLUE
Empress Galina  INV-54  DMU BRO
Manipulate Fate  INV-60  MBTWBLUE
Probe  INV-66  DMU BRO ONE MOM LTR MBTWBLUE
Vodalian Hypnotist  INV-84  MBTWBLUE
Phyrexian Battleflies  INV-114  DMU BRO ONE MOM
Phyrexian Infiltrator  INV-116  MOM LTR CMM
Plague Spitter  INV-119  MBTWBLACK
Yawgmoth's Agenda  INV-135  BRO MOM LTR CMM
Breath of Darigaaz  INV-138  MBTWRED
Ghitu Fire  INV-144  DMU BRO MOM LTR
Mages' Contest  INV-154  STX
Obliterate  INV-156  DMU BRO MOM LTR
Shivan Harvest  INV-167  MID VOW NEO CLB
Canopy Surge  INV-184  MBTWGREEN
Elvish Champion  INV-186  DMU BRO MOM LTR
Tangle  INV-213  MBTWGREEN
Whip Silk  INV-225  MBTWGREEN
Angelic Shield  INV-228  MBTWLMC
Aura Shards  INV-233  MHTWO AFR MID VOW NEO
Backlash  INV-234  MBTWLMC
Dromar, the Banisher  INV-244  ZNR KHM STX
Kangee, Aerie Keeper  INV-253  DMU BRO
Tsabo Tavoc  INV-281  DMU BRO
Yavimaya Barbarian  INV-290  CLB DMU BRO ONE MOM
Chromatic Sphere  INV-299  MBTWLMC
Juntu Stakes  INV-304  VOW NEO CLB DMU
Planar Portal  INV-308  MOM LTR CMM
Power Armor  INV-309  BRO ONE MOM LTR CMM WOE
Tek  INV-313  ZNR KHM STX MHTWO AFR
Urborg Volcano  INV-330  MBTWLMC
Intangible Virtue  ISD-19  MBTWWHITE
Invisible Stalker  ISD-60  AFR MID VOW NEO
Laboratory Maniac  ISD-61  MOM LTR CMM
Rooftop Storm  ISD-71  MOM LTR CMM
Snapcaster Mage  ISD-78  MID VOW NEO CLB
Diregraf Ghoul  ISD-97  MBTWBLACK
Unburial Rites  ISD-122  ZNR KHM STX MHTWO AFR MID MBTWBLACK
Balefire Dragon  ISD-129  AFR MID VOW
Gnaw to the Bone  ISD-183  MKM2
Gutter Grime  ISD-186  VOW NEO CLB DMU
Moonmist  ISD-195  ZNR KHM STX MHTWO AFR MID
Travel Preparations  ISD-206  MBTWGREEN
Grimoire of the Dead  ISD-226  STX MHTWO AFR MID VOW
Witchbane Orb  ISD-236  FOIL
Wooden Stake  ISD-237  VOW NEO CLB DMU
Planar Atlas  J22-51  MBTWLMC
Blessed Defiance  J22-156  MBTWWHITE
Amoeboid Changeling  J22-269  MBTWBLUE
Chittering Rats  J22-387  MBTWBLACK
Electric Revelation  J22-526  MBTWRED
Go for Blood  J22-540  MBTWRED
Release the Dogs  JMP-4  KHM STX MHTWO AFR MID VOW MBTWWHITE
Stone Haven Pilgrim  JMP-6  NEO CLB DMU BRO
Supply Runners  JMP-7  MBTWWHITE
Bruvac the Grandiloquent  JMP-10  MHTWO AFR
Ormos, Archive Keeper  JMP-13  STX MHTWO
Kels, Fight Fixer  JMP-15  CMM WOE LCI
Witch of the Moors  JMP-18  MID VOW NEO SNC CLB MBTWRM
Muxus, Goblin Grandee  JMP-24  MBTWRM
Spiteful Prankster  JMP-26  MBTWRED
Island  JMP-50  STX
Terramorphic Expanse  JMP-78  MBTWLMC
Exquisite Blood  JMP-231  VOW NEO SNC CLB
Cinder Elemental  JMP-304  CMM WOE LCI
Banishing Light  JOU-5  MBTWWHITE
Eidolon of Rhetoric  JOU-10  FOIL
Lagonna-Band Trailblazer  JOU-14  MBTWWHITE
Dakra Mystic  JOU-35  MBTWBLUE
Dictate of Erebos  JOU-65  OLDFRAME
Doomwake Giant  JOU-66  ZNR KHM STX MHTWO AFR
Eidolon of the Great Revel  JOU-94  MOM LTR CMM
Bassara Tower Archer  JOU-117  MBTWGREEN
Eidolon of Blossoms  JOU-122  NEO CLB DMU BRO MOM
Athreos, God of Passage  JOU-146  OLDFRAME
Kruphix, God of Horizons  JOU-152  OLDFRAME
Nyx Weaver  JOU-153  MKM2
Battle Screech  JUD-3  MBTWWHITE
Benevolent Bodyguard  JUD-5  MBTWWHITE
Chastise  JUD-8  MBTWWHITE
Phantom Flock  JUD-16  MBTWWHITE
Prismatic Strands  JUD-18  MBTWWHITE
Soulcatchers' Aerie  JUD-25  MHTWO AFR MID VOW
Flash of Insight  JUD-40  MBTWBLUE
Mental Note  JUD-46  MBTWBLUE
Web of Inertia  JUD-53  MBTWBLUE
Filth  JUD-66  MBTWBLACK
Stitch Together  JUD-72  DMU BRO ONE MOM LTR
Treacherous Werewolf  JUD-76  MID VOW NEO CLB
Anger  JUD-77  MBTWRED
Arcane Teachings  JUD-78  STX MHTWO AFR MID VOW
Dwarven Bloodboiler  JUD-84  LTR CMM
Firecat Blitz  JUD-88  MBTWRED
Flaring Pain  JUD-89  MBTWRED
Lava Dart  JUD-94  MBTWRED
Swelter  JUD-101  MBTWRED
Worldgorger Dragon  JUD-103  CLB DMU BRO
Grizzly Fate  JUD-119  ZNR KHM STX MHTWO AFR MBTWGREEN
Harvester Druid  JUD-120  MBTWGREEN
Phantom Centaur  JUD-127†  OLDFRAME
Phantom Tiger  JUD-129  MBTWGREEN
Serene Sunset  JUD-131  MID VOW NEO CLB
Wall of Omens  KHC-35  LCI
Ghostly Flicker  KHC-39  MBTWBLUE
Sea Gate Oracle  KHC-43  CLB DMU BRO ONE MOM
Poison-Tip Archer  KHC-90  MBTWLMC
Clarion Spirit  KHM-6  MBTWWHITE
Berg Strider  KHM-47  MBTWBLUE
Mistwalker  KHM-68  MBTWBLUE
Skull Raid  KHM-111  MBTWBLACK
Axgard Cavalry  KHM-121  MBTWRED
Crush the Weak  KHM-128  LTR CMM WOE LCI
Dwarven Hammer  KHM-133  MBTWRED
Goldspan Dragon  KHM-139  CLB DMU BRO ONE MOM
Broken Wings  KHM-164  MBTWGREEN
Elven Bow  KHM-166  MBTWGREEN
Fynn, the Fangbearer  KHM-170  MBTWGREEN
Jaspera Sentinel  KHM-178  MBTWGREEN
Masked Vandal  KHM-184  MBTWGREEN
Path to the World Tree  KHM-186  MOM LTR CMM WOE
Sarulf's Packmate  KHM-192  MBTWGREEN
Struggle for Skemfar  KHM-196  MBTWGREEN
Tyvar Kell  KHM-198  ONE
Forging the Tyrite Sword  KHM-211  CLB DMU BRO ONE
Maja, Bretagard Protector  KHM-222  CMM WOE LCI
Narfi, Betrayer King  KHM-224  CMM WOE LCI
Sarulf, Realm Eater  KHM-228  MOM LTR CMM WOE
Showdown of the Skalds  KHM-229  MBTWRM
Svella, Ice Shaper  KHM-230  MBTWLMC
Vega, the Watcher  KHM-233  CMM WOE LCI
Goldvein Pick  KHM-239  MBTWLMC
Rimewood Falls  KHM-266  MBTWLMC
Shimmerdrift Vale  KHM-267  MBTWLMC
The World Tree  KHM-275  MOM LTR CMM WOE
Orvar, the All-Form  KHM-305  MHTWO AFR
Starnheim Aspirant  KHM-380  VOW NEO CLB
Warchanter Skald  KHM-381  NEO CLB DMU BRO
Youthful Valkyrie  KHM-382  MBTWWHITE
Acrobatic Maneuver  KLD-1  WHITEA
Authority of the Consuls  KLD-5  MBTWRM
Built to Last  KLD-7  WHITEB
Eddytrail Hawk  KLD-12  WHITEA
Fairgrounds Warden  KLD-13  MBTWWHITE
Fragmentize  KLD-14  WHITEB
Glint-Sleeve Artisan  KLD-17  WHITEA
Ninth Bridge Patrol  KLD-22  WHITEA
Refurbish  KLD-25  WHITEB
Wispweaver Angel  KLD-35  MBTWWHITE
Aether Tradewinds  KLD-38  BLUEB
Curio Vendor  KLD-42  BLUEA
Failed Inspection  KLD-47  BLUEA
Hightide Hermit  KLD-51  BLUEA
Weldfast Wingsmith  KLD-69  BLUEA
Wind Drake  KLD-70  BLUEA
Ambitious Aetherborn  KLD-72  BLACKA
Die Young  KLD-76  BLACKB
Dukhara Scavenger  KLD-77  BLACKA
Essence Extraction  KLD-80  MBTWBLACK
Fretwork Colony  KLD-83  BLACKA
Gonti, Lord of Luxury  KLD-84  RARE
Lawless Broker  KLD-86  BLACKB
Prakhata Club Security  KLD-98  BLACKB
Rush of Vitality  KLD-99  MBTWBLACK
Subtle Strike  KLD-100  BLACKA
Tidy Conclusion  KLD-103  BLACKB
Weaponcraft Enthusiast  KLD-105  MBTWBLACK
Built to Smash  KLD-108  REDA
Cathartic Reunion  KLD-109  REDB
Combustible Gearhulk  KLD-112  KHM STX MHTWO
Giant Spectacle  KLD-116  REDA
Reckless Fireweaver  KLD-126  REDA
Renegade Tactics  KLD-127  REDB
Ruinous Gremlin  KLD-128  REDA
Salivating Gremlins  KLD-129  REDB
Wayward Giant  KLD-139  REDA
Armorcraft Judge  KLD-144  MBTWGREEN
Blossoming Defense  KLD-146  MBTWGREEN
Commencement of Festivities  KLD-148  VOW NEO CLB DMU
Creeping Mold  KLD-150  GREENA
Larger Than Life  KLD-160  GREENB
Nature's Way  KLD-162  MBTWGREEN
Peema Outrider  KLD-166  GREENB
Riparian Tiger  KLD-167  GREENA
Take Down  KLD-170  GREENA
Verdurous Gearhulk  KLD-172  BRO ONE MOM LTR CMM
Contraband Kingpin  KLD-177  MULTICOLOR
Engineered Might  KLD-181  MULTICOLOR
Saheeli Rai  KLD-186  BRO ONE MOM
Unlicensed Disintegration  KLD-187  MULTICOLOR
Veteran Motorist  KLD-188  NEO CLB DMU BRO
Aetherflux Reservoir  KLD-192  RARE
Bomat Bazaar Barge  KLD-198  COLORLESS
Dukhara Peafowl  KLD-207  MBTWBLUE
Electrostatic Pummeler  KLD-210  ZNR KHM STX MHTWO AFR
Fabrication Module  KLD-211  LCI
Foundry Inspector  KLD-215  COLORLESS
Metalspinner's Puzzleknot  KLD-221  MKM2
Panharmonicon  KLD-226  ZNR KHM STX MHTWO AFR MID
Perpetual Timepiece  KLD-227  VOW NEO CLB DMU
Prakhata Pillar-Bug  KLD-228  MBTWBLACK
Smuggler's Copter  KLD-235  MBTWRM
Aether Hub  KLD-242  COLORLESS
Inventors' Fair  KLD-247  ZNR KHM STX MHTWO AFR
Terrain Elemental  KLD-272  GREENB
Abzan Battle Priest  KTK-1  MBTWWHITE
Abzan Falconer  KTK-2  WHITEA
Ainok Bond-Kin  KTK-3  WHITEA
Feat of Resistance  KTK-10  WHITEA
Firehoof Cavalry  KTK-11  WHITEA
Mardu Hordechief  KTK-17  WHITEA
Seeker of the Way  KTK-22  WHITEB
Siegecraft  KTK-23  WHITEA
War Behemoth  KTK-29  WHITEA
Cancel  KTK-33  BLUEA
Clever Impersonator  KTK-34  MBTWRM
Dragon's Eye Savants  KTK-38  BLUEA
Embodiment of Spring  KTK-39  BLUEA
Scion of Glaciers  KTK-53  MBTWBLUE
Set Adrift  KTK-54  MBTWBLUE
Singing Bell Strike  KTK-55  BLUEA
Treasure Cruise  KTK-59  BLUEA
Bitter Revelation  KTK-65  BLACKA
Disowned Ancestor  KTK-70  BLACKA
Krumar Bond-Kin  KTK-77  BLACKA
Murderous Cut  KTK-81  ZNR KHM STX MHTWO
Rakshasa's Secret  KTK-84  BLACKA
Rite of the Serpent  KTK-86  BLACKA
Shambling Attendants  KTK-89  BLACKA
Unyielding Krumar  KTK-94  BLACKA
Ainok Tracker  KTK-96  REDA
Arrow Storm  KTK-98  REDA
Barrage of Boulders  KTK-100  REDA
Bloodfire Expert  KTK-101  REDA
Bring Low  KTK-103  REDA
Canyon Lurkers  KTK-105  REDA
Goblinslide  KTK-109  MBTWRED
Leaping Master  KTK-114  REDA
Mardu Warshrieker  KTK-117  REDA
Swift Kick  KTK-122  REDA
Valley Dasher  KTK-125  REDA
Alpine Grizzly  KTK-127  GREENB
Become Immense  KTK-130  GREENA
Dragonscale Boon  KTK-131  GREENB
Feed the Clan  KTK-132  GREENB
Hooting Mandrills  KTK-137  GREENA
Kin-Tree Warden  KTK-139  GREENA
Longshot Squad  KTK-140  GREENB
Meandering Towershell  KTK-141  RARE
Sagu Archer  KTK-146  GREENA
Savage Punch  KTK-147  GREENA
Woolly Loxodon  KTK-158  GREENA
Abzan Guide  KTK-162  MULTICOLOR
Armament Corps  KTK-165  MULTICOLOR
Bear's Companion  KTK-167  MULTICOLOR
Highspire Mantis  KTK-177  MULTICOLOR
Kin-Tree Invocation  KTK-183  MULTICOLOR
Mantis Rider  KTK-184  MBTWRM
Mardu Roughrider  KTK-187  MULTICOLOR
Savage Knuckleblade  KTK-197  RARE
Sorin, Solemn Visitor  KTK-202  MBTWRM
Sultai Charm  KTK-204  MULTICOLOR
Sultai Soothsayer  KTK-205  MULTICOLOR
Warden of the Eye  KTK-212  MULTICOLOR
Dragon Throne of Tarkir  KTK-219  MOM LTR CMM WOE
Dismal Backwater  KTK-232  COLORLESS
Jungle Hollow  KTK-235  COLORLESS
Mystic Monastery  KTK-236  MBTWLMC
Opulent Palace  KTK-238  MBTWLMC
Deftblade Elite  LGN-12  MBTWWHITE
Ward Sliver  LGN-25  MBTWWHITE
Dreamborn Muse  LGN-36  CMM
Echo Tracer  LGN-37  MBTWBLUE
Keeper of the Nine Gales  LGN-42  ZNR KHM STX
Riptide Director  LGN-50  MHTWO AFR MID VOW NEO
Shifting Sliver  LGN-52  MBTWBLUE
Aphetto Exterminator  LGN-59  MBTWBLACK
Corpse Harvester  LGN-62  MBTWBLACK
Crypt Sliver  LGN-63  MBTWBLACK
Drinker of Sorrow  LGN-66  MOM LTR CMM
Gempalm Polluter  LGN-70  ZNR KHM STX MHTWO
Noxious Ghoul  LGN-77  AFR MID VOW NEO MBTWBLACK
Skinthinner  LGN-80  MBTWBLACK
Spectral Sliver  LGN-83  MBTWBLACK
Toxin Sliver  LGN-84  OLDFRAME
Withered Wretch  LGN-86  MBTWBLACK
Blade Sliver  LGN-88  MBTWRED
Goblin Assassin  LGN-95  MHTWO AFR MID VOW
Krosan Vorine  LGN-131  MBTWGREEN
Nantuko Vigilante  LGN-132  MBTWGREEN
Wirewood Channeler  LGN-144  MBTWGREEN
Austere Command  LRW-3  MOM LTR CMM
Avian Changeling  LRW-4  MBTWWHITE
Burrenton Forge-Tender  LRW-7  MBTWWHITE
Changeling Hero  LRW-9  WOE LCI FOIL
Cloudgoat Ranger  LRW-10  ZNR KHM STX MBTWWHITE
Oaken Brawler  LRW-33  LTR CMM WOE LCI
Oblivion Ring  LRW-34  MBTWWHITE
Veteran of the Depths  LRW-46  LCI
Wizened Cenn  LRW-49  ZNR KHM STX MHTWO
Amoeboid Changeling  LRW-51  ZNR KHM STX MHTWO AFR MID
Cryptic Command  LRW-56  ZNR
Faerie Harbinger  LRW-61  WOE LCI
Familiar's Ruse  LRW-64  MBTWBLUE
Forced Fruition  LRW-66  ZNR KHM STX MHTWO
Merrow Harbinger  LRW-73  LCI
Silvergill Douser  LRW-87  MBTWBLUE
